source,total_drills,title_non_empty,image_url_non_empty,video_url_non_empty,instructions_non_empty,summary_non_empty,teaching_points_non_empty,variations_non_empty,tags_non_empty,position_non_empty,starting_zone_non_empty,ending_zone_non_empty,situation_non_empty,hockey_skills_non_empty,complexity_non_empty
IHS,291,291,291,275,161,289,177,85,290,265,291,291,241,287,291
Weiss,129,129,121,118,128,0,0,0,0,112,129,129,82,121,129
